tahun,jenis_api,nilai_produksi,jumlah_hari,pelabuhan_kedatangan_id,pelabuhan_keberangkatan_id,kelas_pelabuhan,provinsi,tanggal_berangkat,tanggal_kedatangan,nama_ikan_id,berat
2018,Bouke ami,282955200,99,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-06,2018-02-12,Cumi-Cumi,5592
2018,Bouke ami,112500,71,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-12-06,2018-02-14,Kembung Lelaki,9
2018,Jaring insang berlapis,896000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-13,2018-02-14,Kembung Perempuan [RAB],32
2018,Bagan perahu,1120000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-12,2018-02-14,Kembung Perempuan [RAB],56
2018,Bagan perahu,1180000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-12,2018-02-14,Kembung Perempuan [RAB],59
2018,Bouke ami,114680000,71,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-12-06,2018-02-14,Cumi-Cumi,4880
2018,Jaring insang berlapis,700000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-14,2018-02-15,Kembung Perempuan [RAB],25
2018,Bagan perahu,1100000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-14,2018-02-15,Kembung Perempuan [RAB],55
2018,Bagan perahu,320000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],16
2018,Bagan perahu,340000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],17
2018,Bagan perahu,480000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],24
2018,Bagan perahu,480000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],24
2018,Bagan perahu,520000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],26
2018,Bagan perahu,540000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],27
2018,Bagan perahu,680000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],34
2018,Bagan perahu,720000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],36
2018,Bagan perahu,740000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],37
2018,Jaring insang berlapis,2268000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-16,Kembung Perempuan [RAB],81
2018,Bagan perahu,460000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],23
2018,Jaring insang berlapis,756000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],27
2018,Bagan perahu,840000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-15,2018-02-17,Kembung Perempuan [RAB],42
2018,Bagan perahu,840000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],42
2018,Jaring insang oseanik,625000,63,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-12-17,2018-02-17,Kembung Lelaki,50
2018,Bagan perahu,1240000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],62
2018,Bagan perahu,1300000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],65
2018,Bagan perahu,1360000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-16,2018-02-17,Kembung Perempuan [RAB],68
2018,Jaring insang oseanik,6987500,63,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-12-17,2018-02-17,Kembung Perempuan [RAB],559
2018,Bouke ami,49115000,138,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-03,2018-02-17,Cumi-Cumi,2090
2018,Bouke ami,114633000,105,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-05,2018-02-17,Cumi-Cumi,4878
